Date,Open,High,Low,Close,Adj Close,Volume,Daily Rt,volatility 1,momentum 1,volatility 3,momentum 3
2014-04-24,408.399994,408.399994,408.399994,408.399994,331.549133,0,-0.2084710588,0.1164940312,4.449982,,
2014-04-25,405.549988,413,405.5,406.700012,330.169037,37273,-0.2056393843,0.1164500506,5.400024,,
2014-04-28,403.350006,420.899994,403.350006,416.899994,338.449615,111450,-0.1754294528,0.1213528409,12.399994,,
2014-04-29,412.700012,419.25,410.25,413.450012,335.648895,25690,-0.2066553076,0.1179160056,19.450012,,
2014-04-30,418,419,410,412.700012,335.039978,121655,-0.2212315705,0.1171160492,18.550018,,
2014-05-02,408.350006,417.950012,408.350006,414,336.095337,24647,-0.1947298037,0.1166860918,10.350006,,
2014-05-05,413.5,417.5,409.299988,411.350006,333.944031,35605,-0.2136841074,0.1108984227,18.700012,,
2014-05-06,410.049988,417.5,410.049988,415.850006,337.597229,152742,-0.1944255195,0.1105548519,20.700012,,
2014-05-07,415.850006,419,402.5,405.200012,328.951294,63069,-0.2344149355,0.1037653575,28.100006,,
2014-05-08,401.299988,409,400,403.100006,327.24646,27364,-0.2039956601,0.1020152244,12.100006,,
2014-05-09,404.899994,404.899994,394.200012,396.299988,321.726044,54118,-0.2299397198,0.1023066716,-2.550018,,
2014-05-12,404.950012,404.950012,392.5,395.200012,320.833038,44650,-0.2328427754,0.1016837775,-6.099976,,
2014-05-13,399.850006,406,392.799988,394.899994,320.589508,92066,-0.2209279783,0.1022207059,-9.550018,,
2014-05-14,397.700012,401.899994,392.100006,393.549988,319.493561,50119,-0.2189608621,0.1024872674,-10.950012,,
2014-05-15,399,404.799988,383.399994,388.149994,315.10968,123474,-0.2360406482,0.1050411193,-15.850006,,
2014-05-16,392.850006,396,383,384.950012,312.511841,105998,-0.2287855152,0.1063282647,-18,,
2014-05-19,386.950012,391,372.100006,373.950012,303.581787,100586,-0.2426444631,0.1098152072,-53.349976,,
2014-05-20,375,390,375,381.299988,309.548676,120023,-0.1918106732,0.09100850703,-32.700012,,
2014-05-21,384.899994,389.299988,378.5,380.049988,308.533875,129239,-0.2211519019,0.08354769893,-31.150024,,
2014-05-22,380.399994,398,380.399994,394.700012,320.427124,119506,-0.1715684466,0.09368146777,-13.25,,
2014-05-23,396,404,393.549988,400.25,324.932739,71212,-0.1977960073,0.09467935116,-13.049988,,
2014-05-26,405.850006,405.850006,394.100006,400.200012,324.892181,136576,-0.2224902715,0.09523578489,-15.5,,
2014-05-27,401,413,396.399994,404.75,328.585968,127812,-0.199162925,0.09528844248,-14.200012,0.213675962,-18
2014-05-28,406.25,413.899994,403.75,409,332.036224,115079,-0.2017246622,0.0955081214,-5.149994,0.2038733857,-8.850006
2014-05-29,409,409,400,407.5,330.818451,75128,-0.2121454175,0.09282111692,-7.700012,0.1968974463,-8.5
2014-05-30,406.049988,449,405.149994,440.899994,357.933411,755089,-0.1261293089,0.1262803201,27.049988,0.2116593414,31.899994
2014-06-02,443.950012,462,429,433.75,352.128906,251111,-0.2317146517,0.1282866733,28.200012,0.206467435,17.25
2014-06-03,433.75,441.799988,419.799988,421.950012,342.549377,93547,-0.2360525175,0.1301997703,15.650024,0.2050618195,0.050018
2014-06-04,425,431,420.549988,425,345.025421,49633,-0.2084710705,0.1299792949,16.600006,0.202890347,27.149994
2014-06-05,429.75,434,420,431.100006,349.977509,103017,-0.2053347518,0.1299587955,22.700012,0.2025118779,38.200012
2014-06-06,434,445,432.049988,441.5,358.420532,236238,-0.1913375667,0.1312645916,34.799988,0.2033604837,58.5
2014-06-09,444,445,429,436.549988,354.401978,88178,-0.2253927625,0.1321869266,19.649994,0.2016178796,61
2014-06-10,436.549988,447.450012,431.100006,437.299988,355.010864,300916,-0.2067544969,0.1273601573,23.849976,0.2010663324,57.449982
2014-06-11,442.899994,455.100006,441.100006,449.75,365.118042,458131,-0.1931232933,0.1285449077,37.049988,0.2015804689,74.850006
2014-06-12,450.850006,453.049988,442,445.399994,361.58667,182101,-0.2206329394,0.1284945571,31.399994,0.2015001829,75.399994
2014-06-13,448.850006,454.799988,440,443.649994,360.165955,170464,-0.2201238582,0.1277833258,32.299988,0.2012226912,73.199982
2014-06-16,443.5,454,442.850006,451.200012,366.295288,304698,-0.1912579958,0.1293127433,35.350006,0.2020294774,80.450012
2014-06-17,448.5,460,448,450.700012,365.889343,183402,-0.2035777353,0.1284515826,45.5,0.202102664,70.25
2014-06-18,448.549988,454,445,449.75,365.118042,153143,-0.2057994272,0.1261946767,46.649994,0.1992194601,70.100006
2014-06-19,446.200012,451.799988,431,440.149994,357.324554,106310,-0.2221228253,0.126615119,43.850006,0.1993838867,60.25
2014-06-20,436.799988,441.399994,428,431.450012,350.261688,41184,-0.2207948418,0.1254899388,36.25,0.1994283198,51.350006
2014-06-23,430,434,422.100006,424.200012,344.375946,48896,-0.2220512818,0.1239319621,29.300018,0.1997812335,43.450012
2014-06-24,424.799988,427.950012,417.850006,420.049988,341.006866,104070,-0.2197158297,0.1238258858,26.5,0.2000038337,40.75
2014-06-25,425.350006,428,412.5,415.950012,337.678436,162511,-0.2308183037,0.125290231,27.800018,0.2010211012,35
2014-06-26,417.5,423.5,412.600006,414.25,336.29834,74823,-0.2162858616,0.1226069022,29.299988,0.2011176374,34.799988
2014-06-27,416,418.850006,410.75,412.75,335.080597,73659,-0.2163141693,0.1212101097,38.799988,0.2011935279,29.649994
2014-06-30,413.149994,428.950012,412,425.649994,345.55307,240580,-0.1786644737,0.1197944331,44.350006,0.2032895925,26.449982
2014-07-01,425.5,429.950012,419.25,420.049988,341.006866,84425,-0.221362336,0.1195602692,40,0.202034442,22.099976
2014-07-02,428,464.399994,428,434.850006,353.021912,1155015,-0.1925930669,0.1197201033,40.149994,0.2027892914,41.5
2014-07-03,434.700012,441.899994,423.299988,425.5,345.431335,193507,-0.2298622831,0.1159847789,25.25,0.203008475,30.450012
2014-07-04,428.649994,439.549988,425.25,428.350006,347.745026,320050,-0.2091711938,0.1154057523,28.149994,0.2029194861,29
2014-07-07,428.799988,435,426.100006,431,349.896393,98364,-0.2033534911,0.1147391525,26.25,0.2029851467,38.5
2014-07-08,432.149994,434.299988,413.299988,417,338.530823,78747,-0.2441575905,0.1195790139,8,0.2046249908,24.850006
2014-07-09,417.049988,424.700012,411,417.350006,338.814941,74231,-0.2077520283,0.1192871727,9.850006,0.204565343,25.600006
2014-07-10,415.25,424,403.049988,419.75,340.763336,60656,-0.1976925415,0.1199457686,-21.149994,0.2048950892,31.899994
2014-07-11,417.549988,424,403.450012,406.100006,329.681946,74482,-0.2362758792,0.08612811502,-27.649994,0.2057238533,23.649994
2014-07-14,403.350006,420.950012,403.350006,408.700012,331.792664,58976,-0.1952944185,0.08591225672,-13.25,0.2061894017,22.650024
2014-07-15,410.100006,444.700012,410.100006,436.399994,354.280243,700277,-0.1463128002,0.1050879617,11.399994,0.2156170914,20.350006
2014-07-16,437.799988,449,431,435,358.900543,175541,-0.1987168466,0.1056297367,3.899994,0.2026742925,21.350006
2014-07-17,435,469.5,432,464.450012,383.198517,561781,-0.126792855,0.1339268933,22.950012,0.2186263812,60.900024
2014-07-18,463.700012,476.899994,454,458.299988,378.12442,315617,-0.2040145224,0.1330421638,21.75,0.2171439448,54.349976
2014-07-21,460.100006,463.649994,444,446.100006,368.058716,92249,-0.2232013904,0.1327446521,8.800018,0.2175363384,44.800018
2014-07-22,449.450012,461.299988,447,457.350006,377.340637,276121,-0.1748763138,0.1365344673,7.600006,0.2200746676,52.850006
2014-07-23,459,472,455.399994,464.950012,383.611053,325016,-0.1794210536,0.1385192159,19.550018,0.2218877765,70.950012
2014-07-24,466.299988,470.799988,456.549988,459.25,378.908203,148156,-0.2075352108,0.1376358579,15.600006,0.2200940746,65.100006
2014-07-25,455,458.75,440,447.799988,369.461304,70762,-0.2082514094,0.136783551,-3.400024,0.2193343779,44.149994
2014-07-28,445.149994,463.950012,445.149994,459.899994,379.444489,176326,-0.1597029784,0.1434150983,9.199982,0.2240325382,67.25
2014-07-30,460,463.600006,452.75,454.450012,374.947968,89225,-0.2044392251,0.1434186898,4.700012,0.2210434177,59.300018
2014-07-31,451,474.299988,451,457.350006,377.340637,276481,-0.1783190136,0.1455686216,17.200012,0.2224183482,80.25
2014-08-01,452.350006,462,441.149994,443.5,365.913574,139290,-0.2120590608,0.1445113344,12.049988,0.2175479876,52.5
2014-08-04,449,449,439,440.950012,363.809631,74584,-0.2103921487,0.1434969917,16.75,0.216692938,42.100006
2014-08-05,443.700012,448,438,442.899994,365.418488,88122,-0.1941054462,0.1421412871,22.850006,0.2158025428,41.600006
2014-08-06,439.100006,447.799988,437.649994,440.049988,363.067047,85887,-0.1901396715,0.14116813,24.099976,0.2164535288,35.599976
2014-08-07,440,443.75,430.600006,432.5,356.83786,68718,-0.209493222,0.1379142799,18.25,0.2164694787,28
2014-08-08,430,435.049988,424.049988,430.700012,355.352814,76858,-0.1906740705,0.1370106201,17.950012,0.2170318558,26.700012
2014-08-11,431,437.75,423.399994,426.75,352.093781,58397,-0.2022105267,0.1358199465,1.100006,0.2170351729,23.799988
2014-08-12,423.200012,431,423.200012,429.75,354.56897,66144,-0.1769420261,0.1360828963,9.700012,0.2190180664,2.450012
2014-08-13,426.200012,433.5,421,429.799988,354.610199,69163,-0.1838895926,0.1345319969,-5.050018,0.2127818424,15.799988
2014-08-14,427.350006,429.950012,421,423.149994,349.123627,38697,-0.2021772721,0.1345789614,-2.350006,0.20804539,11.949982
2014-08-18,420.149994,443,420.149994,435.149994,359.024292,281710,-0.1572217242,0.1357768463,6.799988,0.2132238465,27.199982
2014-08-19,432.5,458,432.5,437.600006,361.045685,365597,-0.1805778248,0.1355882986,6.600006,0.2142426452,24.300018
2014-08-20,441.799988,459,441,444.399994,366.656097,382709,-0.1864329205,0.1353761369,27.399994,0.2149065666,28.699982
2014-08-21,445.850006,448.5,440.25,444.200012,366.491119,204167,-0.1960082969,0.1246823576,26.850006,0.2150218698,25.25
2014-08-22,441.299988,446.450012,437,442.600006,365.170959,211722,-0.1893592643,0.1235328176,22.850006,0.2155678326,28.450012
2014-08-25,440,448.950012,435.5,439.149994,362.324554,65471,-0.1942343587,0.1233801045,33.049988,0.2137033757,23.949982
2014-08-26,439,442,424.5,433.549988,357.704193,102080,-0.2047930448,0.1150693707,24.849976,0.2136858288,19.699982
2014-08-27,436,469.600006,434,451.5,372.514008,727411,-0.1573676009,0.1192958102,15.100006,0.2185770209,45.950012
2014-08-28,452.299988,456.950012,442,445.600006,367.646179,216513,-0.2072246444,0.112461315,10.600006,0.2176016146,39.300018
2014-09-01,444,454.950012,444,449.25,370.657623,91215,-0.180545775,0.1125312094,-15.200012,0.2182951358,40.850006
2014-09-02,445.200012,456.100006,445.200012,447,368.80127,118686,-0.1882657111,0.09184432664,-11.299988,0.2187735371,38.600006
2014-09-03,451.450012,463.899994,448.049988,449.549988,370.905121,205029,-0.19651836,0.0911156936,3.449982,0.2187808124,42.849976
2014-09-04,452.25,452.399994,445.5,450.350006,371.565186,62012,-0.1965108085,0.0852430914,-7,0.2188413171,33.450012
2014-09-05,450.399994,461.5,449,452.600006,373.4216,172039,-0.1874279873,0.0837504589,-12.350006,0.2176685087,39.149994
2014-09-08,453,459.799988,447,449.75,371.070129,135868,-0.1995010538,0.08326582779,-9.5,0.2176510237,37.049988
2014-09-09,449.299988,454.600006,445.600006,448.049988,369.667572,64823,-0.1950866416,0.08174014989,0.25,0.2169463157,34.049988
2014-09-10,445.75,454,445.75,448.450012,369.997589,68019,-0.1862617673,0.07996937083,-11.449982,0.2174068161,37.100006
2014-09-11,449.549988,454,446,448.299988,369.873779,81734,-0.1950852461,0.07338587087,-6.150024,0.2172025389,32.449982
2014-09-12,448.649994,450.899994,444,446.049988,368.017456,86668,-0.1981126885,0.0725241368,-11.300018,0.2171051399,40.849976
2014-09-15,443.149994,454.399994,436.399994,442.25,364.882233,106209,-0.1943336474,0.07125548084,-1.25,0.2147333675,39.149994
2014-09-16,438.649994,444.600006,428,432.350006,356.714142,109823,-0.2067670766,0.06990565683,-8.600006,0.2147835989,36.050018
2014-09-17,436.799988,437.450012,428.049988,431.100006,355.68277,52814,-0.2054361589,0.06871662202,-11.799988,0.2128975499,35.899994
2014-09-18,432.049988,443.799988,430.100006,435.799988,359.560608,306744,-0.1836585419,0.06914006041,-4.25,0.2111973499,40.899994
2014-09-19,440.899994,457,440,444.700012,366.903625,331998,-0.1837188674,0.06955883446,12.200012,0.2108761773,51.150024
2014-09-22,442.049988,456.700012,442.049988,448.899994,370.368835,152807,-0.1769236102,0.06830920992,18.199982,0.2113070481,60.75
2014-09-23,447.049988,458,439,444.299988,366.573608,238874,-0.1984710768,0.06881902782,17.549988,0.2081156473,59.349976
2014-09-24,448.399994,451.649994,440,443.899994,366.24353,77353,-0.2023871832,0.06885069282,14.149994,0.2060139615,69.949982
2014-09-25,445.200012,448.950012,436,437.25,360.756927,77166,-0.2103192472,0.07019149732,7.450012,0.2015994205,55.950012
2014-09-26,434.149994,440,431.049988,434.75,358.694275,37973,-0.1909196587,0.06975500148,11.600006,0.2016325282,54.700012
2014-09-29,434.899994,439,431.100006,432.549988,356.87912,53707,-0.1977189808,0.06920399525,-2.600006,0.2003596089,37.849976
2014-09-30,432.049988,434.899994,427.299988,429.100006,354.032715,158654,-0.1991519704,0.05972678858,-8.5,0.1984992289,28.850006
2014-10-01,430,432.850006,421.649994,422.75,348.793549,107247,-0.2093050117,0.06046457663,-21.649994,0.1987729661,22.549988
2014-10-07,419.100006,422,395.100006,399.700012,329.776001,393286,-0.2396959301,0.07527904109,-44.5,0.201559278,-5.049988
2014-10-08,399.950012,408.700012,384.899994,404.649994,333.859985,250226,-0.1806178708,0.07677303792,-37.950012,0.2024079124,-4.350006
2014-10-09,406,415.899994,403.100006,412,339.924194,69844,-0.1776305257,0.07856951935,-27.149994,0.2035023079,4.5
2014-10-10,412,421.950012,402.25,416.25,343.430695,86032,-0.1820380193,0.07960016216,-17.299988,0.2037117843,-24.649994
2014-10-13,419.899994,421.5,407.049988,419.850006,346.400909,87110,-0.1924197726,0.07888629708,-31.649994,0.190298585,-13.899994
2014-10-14,418,419.450012,409,410.75,338.892853,31955,-0.209797443,0.07071286382,-34.850006,0.187740563,-11.200012
2014-10-15,410.75,410.75,410.75,410.75,338.892853,0,-0.1923007673,0.0697714919,-38.5,0.1840271958,-14.25
2014-10-16,410,414,399.049988,406.5,335.386353,74418,-0.2008739999,0.06829102753,-40.5,0.1837605579,-24.600006
2014-10-17,407,408,398,401.549988,331.302277,81380,-0.2057820032,0.06850915915,-48,0.1837785438,-39.950012
2014-10-20,402.649994,407.350006,398.25,399.149994,329.322144,157227,-0.2010312505,0.068659402,-51.200012,0.1836653099,-37.399994
2014-10-21,396.149994,406.75,396.149994,404.75,333.942505,45005,-0.1708240748,0.07335487634,-47.850006,0.183649966,-32.549988
2014-10-22,409,410.799988,405.450012,407.149994,335.922638,31462,-0.1968342666,0.07284742087,-42.600006,0.1834261279,-42.600006
2014-10-27,410.100006,411.299988,402,403.850006,333.199982,78971,-0.2076581908,0.07369316242,-44.199982,0.1836396363,-41.549988
2014-10-28,402,409.799988,401.100006,406.700012,335.551392,61740,-0.1806769636,0.07534350032,-41.75,0.182962596,-36.949982
2014-10-29,406.049988,423.200012,405.649994,414.100006,341.65683,102891,-0.1726694629,0.0783084133,-34.199982,0.1831464187,-37.100006
2014-10-30,399,413,393,408.350006,336.91275,110869,-0.1691374221,0.08261034873,-37.699982,0.1851523744,-42.350006
2014-10-31,409,412.450012,399.25,400.899994,330.766052,144292,-0.2123038221,0.08443793841,-41.350006,0.1856903202,-48.850006
2014-11-03,403,409.700012,398,408.200012,336.788971,82374,-0.1794800266,0.08586216061,-24.149994,0.1862483948,-31.949982
2014-11-05,405.100006,410.700012,401.200012,402.350006,331.962341,79379,-0.1991124333,0.08507318002,-28.75,0.184446551,-29.100006
2014-11-07,403,406.899994,402.200012,404.649994,333.859985,68097,-0.1882148634,0.0844814147,-31.149994,0.1829132263,-19.550018
2014-11-10,402,405.549988,397,400,330.023529,65988,-0.1972881367,0.08389923564,-44.700012,0.1809820102,-20.049988
2014-11-11,398,402.049988,398,398.450012,328.744659,33117,-0.1911706683,0.08326689793,-50.449982,0.1793635977,-17.5
2014-11-12,396.149994,401.899994,396.149994,398.25,328.579651,36106,-0.1870136349,0.08166899142,-46.049988,0.1758780382,-16
2014-11-13,400,400,395.200012,397.799988,328.208344,36831,-0.1978159453,0.08164083057,-46.100006,0.1745501228,-14.950012
2014-11-14,397,404,394.850006,401.75,331.467316,70001,-0.1804070702,0.08246557282,-35.5,0.1737016008,-23.899994
2014-11-17,402,403.5,390.200012,400.299988,330.270996,34962,-0.1965385712,0.08077986497,-34.450012,0.1730145186,-19.75
2014-11-18,400,405,392.450012,400.399994,330.353485,74036,-0.1913012993,0.08076792178,-32.149994,0.1708560737,-34.450012
2014-11-19,398.100006,410,398.100006,405.149994,334.272552,151742,-0.1747465609,0.08278606729,-23.950012,0.1719288041,-20.350006
2014-11-20,403.100006,409.450012,397.399994,398.5,328.785889,65241,-0.2037779394,0.08328132286,-24.25,0.1683307766,-29.850006
2014-11-21,401,410.5,400.850006,408.75,337.242737,90698,-0.1731584684,0.08378028611,9.049988,0.1687852748,-22.25
2014-11-24,411,415.75,409.399994,414.450012,341.945557,66224,-0.1839416802,0.06779553075,9.800018,0.1687053546,-2.549988
2014-11-25,411.200012,417.649994,397.100006,414.75,342.193146,79401,-0.1837044113,0.06742832147,2.75,0.160758518,-2.600006
2014-11-26,412,415.049988,404,405.200012,334.313812,25263,-0.2089432406,0.06874929557,-11.049988,0.1608795626,-14.549988
2014-11-27,402.049988,411.850006,402.049988,404.950012,334.107544,26734,-0.1851135,0.06840098276,-14.899994,0.160936588,-1.149994
2014-11-28,403.350006,411.950012,403.200012,404.200012,333.48877,38752,-0.1901954946,0.06839391444,-6.549988,0.1546050385,-4.5
2014-12-01,401.049988,409.600006,400.299988,401.950012,331.632416,46801,-0.1900589031,0.0655907738,-8.799988,0.1545651982,-34.449982
2014-12-02,400.299988,406.899994,400.299988,403.299988,332.746185,28259,-0.1848342439,0.06579190088,-3.200012,0.1478345553,-31.700012
2014-12-03,405,413.850006,403.5,406.299988,335.221344,40650,-0.1890960251,0.06485413059,4.75,0.147699745,-58.150024
2014-12-04,403.200012,411.5,403.200012,405.25,334.355042,40030,-0.1872293181,0.06273194605,6.100006,0.1323677664,-53.049988
2014-12-05,405.850006,408.600006,400.200012,401.5,331.261108,33181,-0.2030767377,0.06316481901,-3.25,0.132288406,-44.600006
2014-12-08,400,404.700012,396,398,328.373352,45110,-0.1973133178,0.06069419205,-9.149994,0.1286903326,-59.350006
2014-12-09,401,404,395.049988,400.899994,330.766052,52732,-0.1925500934,0.0603522368,-2.950012,0.1274954459,-64.050018
2014-12-10,398.100006,403,395.100006,395.549988,326.35199,28676,-0.1987267223,0.05826622732,-11.150024,0.1269724321,-63.700012
2014-12-11,396,397.899994,383,387.200012,319.462769,51196,-0.2147734732,0.06264422386,-26.899994,0.1280358547,-60.599976
2014-12-12,385,389.950012,375.299988,378.149994,311.995941,123327,-0.2102531562,0.06267222833,-30.200012,0.1282975732,-81.75
2014-12-15,380.899994,380.899994,356,359.850006,296.897369,90398,-0.2491503376,0.08085830478,-41.049988,0.1359895147,-94.600006
2014-12-16,359.649994,359.649994,340.049988,348.049988,287.161652,196416,-0.225086015,0.08465662047,-60.150024,0.1391705942,-109.300018
2014-12-17,348.049988,353.950012,340.600006,342.100006,282.252594,59734,-0.2095437197,0.08424233985,-60.25,0.1391347868,-101.399994
2014-12-18,345.200012,357.5,345,352.149994,290.544434,64602,-0.1723674724,0.08744980764,-52.5,0.1396613805,-88.800018
2014-12-19,353,368,353,364.850006,301.022705,68335,-0.1592823631,0.09436878023,-35.149994,0.1428448369,-78.049988
2014-12-22,369.950012,372.950012,354.100006,359.399994,296.526062,137753,-0.2212327804,0.09812105295,-39.050018,0.14555847,-80.649994
2014-12-23,360.049988,363.850006,355.649994,361.350006,298.134949,38276,-0.1886966444,0.09825412432,-36.899994,0.1455998576,-71.149994
2014-12-24,360,369.399994,359,366.75,302.590302,51658,-0.1737242795,0.1002496973,-31.049988,0.1460294113,-63.950012
2014-12-26,367,367.850006,360.700012,363.75,300.115082,22634,-0.2011958403,0.1004202734,-38,0.1462285397,-63
2014-12-29,365.799988,376.299988,361.25,365.149994,301.270172,61955,-0.1940792596,0.09933668103,-35.149994,0.1459509728,-64.600006
2014-12-30,366.100006,374.350006,362.200012,371.799988,306.756866,43047,-0.1768510701,0.1009837428,-28.600006,0.1459612265,-58
2014-12-31,372,388,372,385.450012,318.018921,84076,-0.1567829733,0.1077743165,-19.699982,0.1501601506,-37.699982
2015-01-01,387.950012,393.950012,385,391.649994,323.134277,45594,-0.1828085412,0.1066328185,-6.850006,0.1501947826,-43.5
2015-01-02,390.100006,396.100006,390,390.100006,321.855408,46665,-0.1923007307,0.1061142861,-18.649994,0.1458610449,-47.5
2015-01-05,391,393.75,377.549988,391.450012,322.969238,72549,-0.1911504797,0.1041048668,-23,0.1453297459,-52.949982
